URL,Content creator,Username,Date added,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
https://www.facebook.com/17774451468,Mr Bean,MrBean,2023-03-09,139008646,English,yes,2,461607
https://www.facebook.com/673283106147611,5-Minute Crafts,5min.crafts,2023-06-26,126855183,English,yes,4,107879
https://www.facebook.com/19034719952,Real Madrid C.F.,RealMadrid,2023-07-21,118986908,Spanish,yes,36,445714
https://www.facebook.com/197394889304,FC Barcelona,fcbarcelona,2023-07-21,113503648,Spanish,yes,25,337273
https://www.facebook.com/1614251518827491,Tasty,buzzfeedtasty,2023-03-09,105928117,English,yes,8,118846
https://www.facebook.com/187991754570725,LaLiga,LaLiga,2023-03-09,84215352,English,yes,4,24079
https://www.facebook.com/7175346442,WWE,wwe,2023-03-09,78121035,English,yes,59,374462
https://www.facebook.com/112284674585,Blossom,FirstMediaBlossom,2023-03-09,73756362,English,yes,3,180827
https://www.facebook.com/1520610478183053,Badabun,BadabunOficial,2023-06-26,69045442,Spanish,yes,51,43600
https://www.facebook.com/271965250076,Bob Esponja,bobesponja,2023-07-21,56241514,Spanish,yes,4,104120
https://www.facebook.com/120299234649833,HISTORY,HISTORYLatam,2023-05-11,54993050,Spanish,yes,9,18473
https://www.facebook.com/139594698297,PSG - Paris Saint-Germain,PSG,2023-03-09,52286108,French,yes,28,42714
https://www.facebook.com/346574775355,SpongeBob SquarePants,SpongebobItalia,2023-04-29,50450335,Italian,yes,1,10629
https://www.facebook.com/23497828950,National Geographic,natgeo,2023-07-21,50196436,English,yes,0,0
https://www.facebook.com/118140234879605,HISTORY,CanalHISTORY,2023-07-21,49758481,Portuguese,yes,4,4518
https://www.facebook.com/334191996715482,The Dodo,thedodosite,2023-05-16,49574777,English,yes,12,355581
https://www.facebook.com/7619396355,David Guetta,DavidGuetta,2023-05-08,48533374,English,yes,1,185128
https://www.facebook.com/208411345454,Manchester City,mancity,2023-03-09,47866380,English,yes,30,112051
https://www.facebook.com/8245623462,NBA,nba,2023-04-16,47711963,English,yes,5,72956
https://www.facebook.com/171522852874952,Juventus,Juventus,2023-05-03,47296569,English,yes,21,103664
https://www.facebook.com/8429246183,HISTORY,HISTORY,2023-06-15,45807556,English,yes,0,10745
https://www.facebook.com/368448446426,HISTORY,HISTORYdeutschland,2023-04-12,45662884,German,yes,0,0
https://www.facebook.com/580277028734935,Got Talent Global,gottalentglobal,2023-03-09,45416946,English,yes,3,217834
https://www.facebook.com/7245371700,MTV,MTV,2023-04-07,45236874,English,yes,7,4057
https://www.facebook.com/131218490419638,Sunny Leone,sunnyleone,2023-07-04,44833038,English,yes,0,158422
https://www.facebook.com/727974550664624,Bright Side,brightside,2023-06-16,44638393,English,yes,2,29888
https://www.facebook.com/46299886275,UFC,UFC,2023-03-09,43735717,English,yes,3,0
https://www.facebook.com/115884448421783,NBA,NBAIndia,2023-07-21,42191514,English,yes,0,0
https://www.facebook.com/6002238585,Discovery,Discovery,2023-07-21,41781294,English,yes,1,8489
https://www.facebook.com/5550296508,CNN,cnn,2023-07-21,39673993,English,yes,7,45538
https://www.facebook.com/26012002239,Ellen DeGeneres,ellentv,2023-04-16,39521502,English,yes,14,200212
https://www.facebook.com/146078378744600,ICC - International Cricket Council,icc,2023-07-21,38299400,English,yes,20,64374
https://www.facebook.com/196309417055528,ABS-CBN,ABSCBNnetwork,2023-06-05,36909568,Tagalog,yes,110,72735
https://www.facebook.com/105323946201638,UFC,UFCEspanol,2023-03-09,36223187,Spanish,yes,7,7168
https://www.facebook.com/1396991720561689,Steve Harvey,SteveHarvey,2023-07-21,35763443,English,yes,11,132010
https://www.facebook.com/6732359031,Guinness World Records,GuinnessWorldRecords,2023-07-21,35318168,English,yes,1,133008
https://www.facebook.com/1718650065041649,No One Cares,OfficialCaresOneNo,2023-05-09,35096945,English,yes,36,81899
https://www.facebook.com/176272595900226,UFC,UFCAsia,2023-03-09,34954856,English,yes,4,21664
