URL,Content creator,Username,Date added,Ads in Live,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
www.facebook.com/881218365254392,Alan llamas,alanllamasoficial,2022-08-30,no,127734,Spanish,yes,0,0
www.facebook.com/88150667833,LaBrassBanda,LaBrassBanda,2023-04-22,no,163508,German,yes,0,0
www.facebook.com/881570905277323,Rakhee Vaswani,Yasuooo888,2018-08-24,no,550360,English,yes,0,0
www.facebook.com/881620951917252,Bobby Sessions,BobbySessions,2023-04-22,no,6463,English,yes,1,0
www.facebook.com/882291925293324,Latitude28,Latitude28Band,2020-05-02,yes,112614,English,yes,0,0
www.facebook.com/882778745109354,Chucho Rivas,chuchorivasoficial,2023-04-23,no,193393,Spanish,yes,0,0
www.facebook.com/882876681835039,eGG Network,eGGNetwork,2023-04-23,yes,400548,English,yes,0,0
www.facebook.com/883770771632926,I'm With Her,Imwithherband,2023-04-22,no,50759,English,yes,0,0
www.facebook.com/88398722942,ProgPower USA,ProgPowerUSA,2023-04-16,no,74664,English,yes,0,0
www.facebook.com/884353628253388,Kyd the Band,kydtheband,2023-04-23,no,4605,English,yes,0,0
www.facebook.com/8871710020,Against Me!,AgainstMe,2022-01-09,no,258268,English,yes,0,0
www.facebook.com/887214211371390,Carlinhos Maia,carlinhosmaiaof,2019-05-10,no,9425460,Portuguese,yes,0,0
www.facebook.com/88761367118,Defeater,defeaterhc,2023-07-21,no,160681,English,yes,0,0
www.facebook.com/888924691138644,Srabanti Chatterjee,srabanti.actress,2019-09-20,no,8375233,English,yes,0,0
www.facebook.com/889025651231283,Comedy Utsavam,comedyutsavamofficial,2018-11-30,no,1424429,Malayalam,yes,0,0
www.facebook.com/889323584478299,Born This Way on A&E,BornThisWayAETV,2017-10-07,no,168813,English,yes,0,0
www.facebook.com/889369747815079,VIP Music Records,VIPMusicRecords,2022-06-07,no,76977,Spanish,yes,0,0
www.facebook.com/889792174461350,Jace Roque,JaceRoqueOfficial,2020-04-15,no,97207,Tagalog,yes,0,0
www.facebook.com/890322534325130,It's A Buzz World,itsabuzzworld,2019-03-19,no,631986,English,yes,0,0
www.facebook.com/89068373890,Nik West,nikwestbass,2023-03-21,no,305314,English,yes,0,0
www.facebook.com/890987917926411,Lokeshgamer,LR7GAMING7,2022-01-31,yes,305844,English,yes,0,0
www.facebook.com/891059714288000,Reynold Poernomo,reynoldpoer,2023-04-22,no,593951,English,yes,0,0
